Date,Close
3/3/2015,81.58
3/4/2015,85.49
3/5/2015,86.1
3/6/2015,84.4
3/9/2015,82.53
3/10/2015,82.97
3/11/2015,81.99
3/12/2015,81.92
3/13/2015,81.86
3/16/2015,84
3/17/2015,84.5
3/18/2015,84.59
3/19/2015,85.74
3/20/2015,85.2
3/23/2015,84.25
3/24/2015,83.63
3/25/2015,83.75
3/26/2015,84.17
3/27/2015,84.58
3/30/2015,83.9
3/31/2015,83.24
4/1/2015,82.36
4/2/2015,82.28
4/6/2015,81.82
4/7/2015,82.21
4/8/2015,85.39
4/9/2015,86.14
4/10/2015,84.58
4/13/2015,84.28
4/14/2015,85
4/15/2015,84.67
4/16/2015,84.06
4/17/2015,81.9
4/20/2015,82.2
4/21/2015,82.42
4/22/2015,82.05
4/23/2015,82.28
4/24/2015,84.57
4/27/2015,84.9
4/28/2015,85.08
4/29/2015,82.45
4/30/2015,81.29
5/1/2015,81.17
5/4/2015,80.59
5/5/2015,79.54
5/6/2015,80
5/7/2015,86
5/8/2015,87.06
5/11/2015,86.72
5/12/2015,86.77
5/13/2015,87.53
5/14/2015,88.4
5/15/2015,88.46
5/18/2015,87.11
5/19/2015,88.21
5/20/2015,90.7
5/21/2015,93.88
5/22/2015,93.27
5/26/2015,92.52
5/27/2015,92.6
5/28/2015,90.95
5/29/2015,89.32
6/1/2015,90.78
6/2/2015,90.51
6/3/2015,90.79
6/4/2015,90.59
6/5/2015,90.71
6/8/2015,88.29
6/9/2015,87.58
6/10/2015,88.9
6/11/2015,87.21
6/12/2015,86.63
6/15/2015,86.12
6/16/2015,86.09
6/17/2015,86.8
6/18/2015,86.75
6/19/2015,85.74
6/22/2015,85.68
6/23/2015,85.08
6/24/2015,85.17
6/25/2015,85.24
6/26/2015,83.28
6/29/2015,81.07
6/30/2015,82.27
7/1/2015,82.46
7/2/2015,82.07
7/6/2015,80.23
7/7/2015,79.62
7/8/2015,77.94
7/9/2015,79.04
7/10/2015,80.3
7/13/2015,81.86
7/14/2015,81.5
7/15/2015,80.73
7/16/2015,81.53
7/17/2015,83.36
7/20/2015,82.67
7/21/2015,82.54
7/22/2015,84.15
7/23/2015,83.88
7/24/2015,83.02
7/27/2015,81.4
7/28/2015,80.56
7/29/2015,80.26
7/30/2015,79.96
7/31/2015,78.34
8/3/2015,77.99
8/4/2015,78.87
8/5/2015,79.82
8/6/2015,78.96
8/7/2015,78.82
8/10/2015,80.47
8/11/2015,77.34
8/12/2015,73.38
8/13/2015,75.11
8/14/2015,74.76
8/17/2015,75.19
8/18/2015,73.88
8/19/2015,73.12
8/20/2015,70.32
8/21/2015,68.18
8/24/2015,65.8
8/25/2015,68.57
8/26/2015,68.66
8/27/2015,70.84
8/28/2015,70.07
8/31/2015,66.12
9/1/2015,64.83
9/2/2015,65.54
9/3/2015,66.47
9/4/2015,63.91
9/8/2015,60.91
9/9/2015,64.04
9/10/2015,63.83
9/11/2015,64.63
9/14/2015,62.6
9/15/2015,64.85
9/16/2015,67.23
9/17/2015,66
9/18/2015,65.75
9/21/2015,63.9
9/22/2015,61.9
9/23/2015,60
9/24/2015,59.92
9/25/2015,59.24
9/28/2015,57.39
9/29/2015,57.82
9/30/2015,58.97
10/1/2015,58.87
10/2/2015,63.2
10/5/2015,63.93
10/6/2015,63.92
10/7/2015,66.28
10/8/2015,67.7
10/9/2015,68.71
10/12/2015,70.3
10/13/2015,69.68
10/14/2015,68.54
10/15/2015,71.78
10/16/2015,71.99
10/19/2015,72.65
10/20/2015,71.79
10/21/2015,69.48
10/22/2015,70.99
10/23/2015,75.62
10/26/2015,76.35
10/27/2015,79.44
10/28/2015,82.35
10/29/2015,82.22
10/30/2015,83.83
11/2/2015,84.35
11/3/2015,83.44
11/4/2015,85.4
11/5/2015,85.38
11/6/2015,83.61
11/9/2015,81.38
11/10/2015,81.43
11/11/2015,79.85
11/12/2015,78.76
11/13/2015,75.85
11/16/2015,78.3
11/17/2015,78.13
11/18/2015,77.69
11/19/2015,77.87
11/20/2015,79.95
11/23/2015,81.31
11/24/2015,80.86
11/25/2015,81.71
11/27/2015,81.38
11/30/2015,84.08
12/1/2015,84
12/2/2015,85
12/3/2015,82.59
12/4/2015,84.85
12/7/2015,84.76
12/8/2015,84.38
12/9/2015,83.42
12/10/2015,84.33
12/11/2015,79.74
12/14/2015,80.57
12/15/2015,82.49
12/16/2015,84.63
12/17/2015,83.56
12/18/2015,82.65
12/21/2015,82.87
12/22/2015,84.84
12/23/2015,84.8
12/24/2015,83.71
12/28/2015,82.14
12/29/2015,83.26
12/30/2015,81.68
12/31/2015,81.27
1/4/2016,76.69
1/5/2016,78.63
1/6/2016,77.33
1/7/2016,72.72
1/8/2016,70.8
1/11/2016,69.92
1/12/2016,72.68
1/13/2016,70.29
1/14/2016,72.25
1/15/2016,69.59
1/19/2016,70.13
1/20/2016,68.71
1/21/2016,70.72
1/22/2016,70.37
1/25/2016,69.72
1/26/2016,69.77
1/27/2016,69.54
1/28/2016,66.92
1/29/2016,67.03
2/1/2016,67.03
2/2/2016,65.09
2/3/2016,63.44
2/4/2016,64.86
2/5/2016,62.64
2/8/2016,61.1
2/9/2016,61.39
2/10/2016,61.78
2/11/2016,60.57
2/12/2016,60.89
2/16/2016,66.29
2/17/2016,66.38
2/18/2016,66.52
2/19/2016,67.28
2/22/2016,68.84
2/23/2016,66.97
2/24/2016,67.23
2/25/2016,66.66
2/26/2016,66.91
2/29/2016,68.81
3/1/2016,70.86
3/2/2016,71.25
3/3/2016,71.02
3/4/2016,72.22
3/7/2016,72.89
3/8/2016,71.07
3/9/2016,72.43
3/10/2016,71.97
3/11/2016,74.01
3/14/2016,73.35
3/15/2016,72.23
3/16/2016,73.5
3/17/2016,74.25
3/18/2016,76.25
3/21/2016,78.11
3/22/2016,78.18
3/23/2016,76.56
3/24/2016,75.86
3/28/2016,76.48
3/29/2016,78.08
3/30/2016,78.86
3/31/2016,79.03
4/1/2016,78.73
4/4/2016,79.08
4/5/2016,77.32
4/6/2016,78.68
4/7/2016,77.61
4/8/2016,77.47
4/11/2016,77.71
4/12/2016,77.86
4/13/2016,79.64
4/14/2016,79.61
